Transaction ID,Date,Time,Items Purchased,Quantity,Total Price (INR),Payment Method,Item
10,2023-01-23,12:52:00,"Lemon Tart, Lemon Tart, Hot Chocolate",1,680,Cash,Hot Chocolate
11,2023-05-22,12:26:00,Greek Salad,1,220,Mobile Wallet,Greek Salad
12,2023-04-11,13:53:00,"Chocolate Fudge Cake, Cold Brew, Oat Milk",2,690,Mobile Wallet,Chocolate Fudge Cake
12,2023-04-11,13:53:00,"Chocolate Fudge Cake, Cold Brew, Oat Milk",1,690,Mobile Wallet,Cold Brew
12,2023-04-11,13:53:00,"Chocolate Fudge Cake, Cold Brew, Oat Milk",1,690,Mobile Wallet,Oat Milk
13,2023-05-11,17:36:00,"Quinoa Bowl, Cheesecake, Chicken Caesar Wrap",1,1240,Mobile Wallet,Quinoa Bowl
13,2023-05-11,17:36:00,"Quinoa Bowl, Cheesecake, Chicken Caesar Wrap",2,1240,Mobile Wallet,Cheesecake
13,2023-05-11,17:36:00,"Quinoa Bowl, Cheesecake, Chicken Caesar Wrap",2,1240,Mobile Wallet,Chicken Caesar Wrap
14,2023-05-13,15:34:00,Veggie Hummus Wrap,1,220,Cash,Veggie Hummus Wrap
15,2023-09-29,19:00:00,"Espresso, Lemon Tart, Pancakes with Syrup",1,620,Mobile Wallet,Espresso
15,2023-09-29,19:00:00,"Espresso, Lemon Tart, Pancakes with Syrup",1,620,Mobile Wallet,Lemon Tart
15,2023-09-29,19:00:00,"Espresso, Lemon Tart, Pancakes with Syrup",1,620,Mobile Wallet,Pancakes with Syrup
16,2023-11-07,11:27:00,"Matcha Latte, Cold Brew, Chocolate Chip Cookies, Vanilla Syrup",1,440,Cash,Matcha Latte
16,2023-11-07,11:27:00,"Matcha Latte, Cold Brew, Chocolate Chip Cookies, Vanilla Syrup",1,440,Cash,Cold Brew
16,2023-11-07,11:27:00,"Matcha Latte, Cold Brew, Chocolate Chip Cookies, Vanilla Syrup",1,440,Cash,Chocolate Chip Cookies
16,2023-11-07,11:27:00,"Matcha Latte, Cold Brew, Chocolate Chip Cookies, Vanilla Syrup",1,440,Cash,Vanilla Syrup
17,2023-08-14,10:43:00,Espresso,2,200,Mobile Wallet,Espresso
18,2023-04-10,16:07:00,Mocha,2,360,Cash,Mocha
19,2023-10-12,16:05:00,Lemon Tart,1,270,Mobile Wallet,Lemon Tart
20,2023-02-11,19:21:00,"Matcha Latte, Masala Chai",1,250,Card,Matcha Latte
20,2023-02-11,19:21:00,"Matcha Latte, Masala Chai",1,250,Card,Masala Chai
21,2023-09-20,10:12:00,French Toast,2,540,UPI,French Toast
22,2023-11-17,17:13:00,"Iced Americano, Avocado Toast",2,740,UPI,Iced Americano
22,2023-11-17,17:13:00,"Iced Americano, Avocado Toast",2,740,UPI,Avocado Toast
23,2023-03-06,09:14:00,"Fresh Lemonade, Chicken Caesar Wrap, Cheesecake",2,980,UPI,Fresh Lemonade
23,2023-03-06,09:14:00,"Fresh Lemonade, Chicken Caesar Wrap, Cheesecake",1,980,UPI,Chicken Caesar Wrap
23,2023-03-06,09:14:00,"Fresh Lemonade, Chicken Caesar Wrap, Cheesecake",2,980,UPI,Cheesecake
24,2023-06-01,12:16:00,"Green Tea, Chocolate Fudge Cake, Pancakes with Syrup, Caramel Drizzle",1,880,Mobile Wallet,Green Tea
24,2023-06-01,12:16:00,"Green Tea, Chocolate Fudge Cake, Pancakes with Syrup, Caramel Drizzle",2,880,Mobile Wallet,Chocolate Fudge Cake
24,2023-06-01,12:16:00,"Green Tea, Chocolate Fudge Cake, Pancakes with Syrup, Caramel Drizzle",1,880,Mobile Wallet,Pancakes with Syrup
24,2023-06-01,12:16:00,"Green Tea, Chocolate Fudge Cake, Pancakes with Syrup, Caramel Drizzle",1,880,Mobile Wallet,Caramel Drizzle
25,2023-04-10,17:51:00,"Americano, Soy Milk",2,280,Mobile Wallet,Americano
25,2023-04-10,17:51:00,"Americano, Soy Milk",1,280,Mobile Wallet,Soy Milk
26,2023-06-17,08:17:00,"Bagel with Cream Cheese, Vanilla Milkshake, Greek Salad",1,610,Cash,Bagel with Cream Cheese
26,2023-06-17,08:17:00,"Bagel with Cream Cheese, Vanilla Milkshake, Greek Salad",1,610,Cash,Vanilla Milkshake
26,2023-06-17,08:17:00,"Bagel with Cream Cheese, Vanilla Milkshake, Greek Salad",1,610,Cash,Greek Salad
27,2023-08-13,16:20:00,"Masala Chai, Greek Salad",1,530,Mobile Wallet,Masala Chai
27,2023-08-13,16:20:00,"Masala Chai, Greek Salad",2,530,Mobile Wallet,Greek Salad
28,2023-03-22,15:36:00,"Caesar Salad, Mocha, Avocado Toast",1,880,UPI,Caesar Salad
28,2023-03-22,15:36:00,"Caesar Salad, Mocha, Avocado Toast",1,880,UPI,Mocha
28,2023-03-22,15:36:00,"Caesar Salad, Mocha, Avocado Toast",2,880,UPI,Avocado Toast
29,2023-07-04,10:08:00,"Club Sandwich, Grilled Cheese Sandwich, Lemon Tart, Caramel Drizzle",2,1350,Card,Club Sandwich
29,2023-07-04,10:08:00,"Club Sandwich, Grilled Cheese Sandwich, Lemon Tart, Caramel Drizzle",2,1350,Card,Grilled Cheese Sandwich
29,2023-07-04,10:08:00,"Club Sandwich, Grilled Cheese Sandwich, Lemon Tart, Caramel Drizzle",2,1350,Card,Lemon Tart
29,2023-07-04,10:08:00,"Club Sandwich, Grilled Cheese Sandwich, Lemon Tart, Caramel Drizzle",1,1350,Card,Caramel Drizzle
30,2023-05-27,20:52:00,"Cappuccino, Grilled Cheese Sandwich, Brownies, Soy Milk",1,490,Card,Cappuccino
30,2023-05-27,20:52:00,"Cappuccino, Grilled Cheese Sandwich, Brownies, Soy Milk",1,490,Card,Grilled Cheese Sandwich
30,2023-05-27,20:52:00,"Cappuccino, Grilled Cheese Sandwich, Brownies, Soy Milk",1,490,Card,Brownies
30,2023-05-27,20:52:00,"Cappuccino, Grilled Cheese Sandwich, Brownies, Soy Milk",1,490,Card,Soy Milk
31,2023-10-28,10:29:00,"Chocolate Fudge Cake, Cheesecake",1,810,Cash,Chocolate Fudge Cake
31,2023-10-28,10:29:00,"Chocolate Fudge Cake, Cheesecake",2,810,Cash,Cheesecake
32,2023-06-21,15:16:00,"Latte, Chocolate Fudge Cake",2,590,Mobile Wallet,Latte
32,2023-06-21,15:16:00,"Latte, Chocolate Fudge Cake",1,590,Mobile Wallet,Chocolate Fudge Cake
33,2023-09-05,18:46:00,"Avocado Toast, Affogato, Iced Americano",1,700,Mobile Wallet,Avocado Toast
33,2023-09-05,18:46:00,"Avocado Toast, Affogato, Iced Americano",1,700,Mobile Wallet,Affogato
33,2023-09-05,18:46:00,"Avocado Toast, Affogato, Iced Americano",2,700,Mobile Wallet,Iced Americano
34,2023-10-17,18:24:00,Chicken Caesar Wrap,2,440,UPI,Chicken Caesar Wrap
35,2023-08-09,12:04:00,"Quinoa Bowl, Vanilla Syrup",1,270,UPI,Quinoa Bowl
35,2023-08-09,12:04:00,"Quinoa Bowl, Vanilla Syrup",1,270,UPI,Vanilla Syrup
36,2023-02-25,20:42:00,"Brownies, Latte",1,460,UPI,Brownies
36,2023-02-25,20:42:00,"Brownies, Latte",2,460,UPI,Latte
37,2023-11-23,20:22:00,"Veggie Hummus Wrap, Soy Milk",1,260,Card,Veggie Hummus Wrap
37,2023-11-23,20:22:00,"Veggie Hummus Wrap, Soy Milk",1,260,Card,Soy Milk
38,2023-11-24,18:21:00,"Omelet, French Toast",1,470,Card,Omelet
38,2023-11-24,18:21:00,"Omelet, French Toast",1,470,Card,French Toast
39,2023-02-07,10:40:00,"Chicken Caesar Wrap, Lemon Tart",2,980,Cash,Chicken Caesar Wrap
39,2023-02-07,10:40:00,"Chicken Caesar Wrap, Lemon Tart",2,980,Cash,Lemon Tart
40,2023-01-28,10:54:00,Bagel with Cream Cheese,2,440,Mobile Wallet,Bagel with Cream Cheese
41,2023-07-22,11:56:00,"Veggie Hummus Wrap, Soy Milk",1,260,UPI,Veggie Hummus Wrap
41,2023-07-22,11:56:00,"Veggie Hummus Wrap, Soy Milk",1,260,UPI,Soy Milk
42,2023-12-01,18:57:00,"Strawberry Milkshake, Club Sandwich, Almond Milk",2,780,UPI,Strawberry Milkshake
42,2023-12-01,18:57:00,"Strawberry Milkshake, Club Sandwich, Almond Milk",2,780,UPI,Club Sandwich
42,2023-12-01,18:57:00,"Strawberry Milkshake, Club Sandwich, Almond Milk",1,780,UPI,Almond Milk
43,2023-05-24,18:27:00,"Fresh Lemonade, Lemon Tart, Omelet",1,570,Mobile Wallet,Fresh Lemonade
43,2023-05-24,18:27:00,"Fresh Lemonade, Lemon Tart, Omelet",1,570,Mobile Wallet,Lemon Tart
43,2023-05-24,18:27:00,"Fresh Lemonade, Lemon Tart, Omelet",1,570,Mobile Wallet,Omelet
44,2023-09-24,08:58:00,Chicken Caesar Wrap,2,440,UPI,Chicken Caesar Wrap
45,2023-02-08,14:01:00,"Omelet, Avocado Toast, Chocolate Fudge Cake, Almond Milk",2,930,Card,Omelet
45,2023-02-08,14:01:00,"Omelet, Avocado Toast, Chocolate Fudge Cake, Almond Milk",1,930,Card,Avocado Toast
45,2023-02-08,14:01:00,"Omelet, Avocado Toast, Chocolate Fudge Cake, Almond Milk",1,930,Card,Chocolate Fudge Cake
45,2023-02-08,14:01:00,"Omelet, Avocado Toast, Chocolate Fudge Cake, Almond Milk",1,930,Card,Almond Milk
46,2023-09-29,19:21:00,"Brownies, Chocolate Chip Cookies",1,320,Mobile Wallet,Brownies
46,2023-09-29,19:21:00,"Brownies, Chocolate Chip Cookies",2,320,Mobile Wallet,Chocolate Chip Cookies
47,2023-03-13,20:20:00,"Brownies, Iced Tea (Peach), Flat White, Caramel Drizzle",1,550,UPI,Brownies
47,2023-03-13,20:20:00,"Brownies, Iced Tea (Peach), Flat White, Caramel Drizzle",2,550,UPI,Iced Tea (Peach)
47,2023-03-13,20:20:00,"Brownies, Iced Tea (Peach), Flat White, Caramel Drizzle",1,550,UPI,Flat White
47,2023-03-13,20:20:00,"Brownies, Iced Tea (Peach), Flat White, Caramel Drizzle",1,550,UPI,Caramel Drizzle
48,2023-09-13,17:58:00,"Iced Tea (Peach), Flat White, Oat Milk",1,470,Card,Iced Tea (Peach)
48,2023-09-13,17:58:00,"Iced Tea (Peach), Flat White, Oat Milk",2,470,Card,Flat White
48,2023-09-13,17:58:00,"Iced Tea (Peach), Flat White, Oat Milk",1,470,Card,Oat Milk
49,2023-04-24,08:00:00,"Espresso, Chocolate Milkshake, Green Tea",2,450,Card,Espresso
49,2023-04-24,08:00:00,"Espresso, Chocolate Milkshake, Green Tea",1,450,Card,Chocolate Milkshake
49,2023-04-24,08:00:00,"Espresso, Chocolate Milkshake, Green Tea",1,450,Card,Green Tea
50,2023-05-15,08:54:00,"Cold Brew, Grilled Cheese Sandwich, Cheesecake, Caramel Drizzle",2,1090,Mobile Wallet,Cold Brew
50,2023-05-15,08:54:00,"Cold Brew, Grilled Cheese Sandwich, Cheesecake, Caramel Drizzle",1,1090,Mobile Wallet,Grilled Cheese Sandwich
50,2023-05-15,08:54:00,"Cold Brew, Grilled Cheese Sandwich, Cheesecake, Caramel Drizzle",2,1090,Mobile Wallet,Cheesecake
50,2023-05-15,08:54:00,"Cold Brew, Grilled Cheese Sandwich, Cheesecake, Caramel Drizzle",1,1090,Mobile Wallet,Caramel Drizzle
51,2023-02-22,20:10:00,"Pancakes with Syrup, Iced Tea (Peach), Vanilla Syrup",2,640,Cash,Pancakes with Syrup
51,2023-02-22,20:10:00,"Pancakes with Syrup, Iced Tea (Peach), Vanilla Syrup",1,640,Cash,Iced Tea (Peach)
51,2023-02-22,20:10:00,"Pancakes with Syrup, Iced Tea (Peach), Vanilla Syrup",1,640,Cash,Vanilla Syrup
52,2023-05-03,11:16:00,"Cappuccino, Chocolate Chip Cookies, Iced Americano",2,530,UPI,Cappuccino
52,2023-05-03,11:16:00,"Cappuccino, Chocolate Chip Cookies, Iced Americano",1,530,UPI,Chocolate Chip Cookies
52,2023-05-03,11:16:00,"Cappuccino, Chocolate Chip Cookies, Iced Americano",1,530,UPI,Iced Americano
53,2023-11-04,09:00:00,"Chicken Caesar Wrap, Greek Salad, Club Sandwich, Vanilla Syrup",2,1090,Mobile Wallet,Chicken Caesar Wrap
53,2023-11-04,09:00:00,"Chicken Caesar Wrap, Greek Salad, Club Sandwich, Vanilla Syrup",1,1090,Mobile Wallet,Greek Salad
53,2023-11-04,09:00:00,"Chicken Caesar Wrap, Greek Salad, Club Sandwich, Vanilla Syrup",2,1090,Mobile Wallet,Club Sandwich
53,2023-11-04,09:00:00,"Chicken Caesar Wrap, Greek Salad, Club Sandwich, Vanilla Syrup",1,1090,Mobile Wallet,Vanilla Syrup
54,2023-04-16,20:04:00,"Vanilla Milkshake, Green Tea",2,500,Cash,Vanilla Milkshake
54,2023-04-16,20:04:00,"Vanilla Milkshake, Green Tea",2,500,Cash,Green Tea
55,2023-08-17,19:23:00,French Toast,2,540,Card,French Toast
56,2023-11-06,10:11:00,"Masala Chai, Chocolate Chip Cookies, Soy Milk",2,320,UPI,Masala Chai
56,2023-11-06,10:11:00,"Masala Chai, Chocolate Chip Cookies, Soy Milk",1,320,UPI,Chocolate Chip Cookies
56,2023-11-06,10:11:00,"Masala Chai, Chocolate Chip Cookies, Soy Milk",1,320,UPI,Soy Milk
57,2023-01-03,20:52:00,"Americano, Almond Milk",2,280,Cash,Americano
57,2023-01-03,20:52:00,"Americano, Almond Milk",1,280,Cash,Almond Milk
58,2023-11-18,14:50:00,"Green Tea, Omelet, Nitro Cold Brew",1,660,UPI,Green Tea
58,2023-11-18,14:50:00,"Green Tea, Omelet, Nitro Cold Brew",2,660,UPI,Omelet
58,2023-11-18,14:50:00,"Green Tea, Omelet, Nitro Cold Brew",1,660,UPI,Nitro Cold Brew
59,2023-11-30,09:33:00,"Avocado Toast, Seasonal Smoothie, Hot Chocolate, Oat Milk",2,1100,UPI,Avocado Toast
59,2023-11-30,09:33:00,"Avocado Toast, Seasonal Smoothie, Hot Chocolate, Oat Milk",2,1100,UPI,Seasonal Smoothie
59,2023-11-30,09:33:00,"Avocado Toast, Seasonal Smoothie, Hot Chocolate, Oat Milk",2,1100,UPI,Hot Chocolate
59,2023-11-30,09:33:00,"Avocado Toast, Seasonal Smoothie, Hot Chocolate, Oat Milk",1,1100,UPI,Oat Milk
60,2023-06-29,08:39:00,"Veggie Hummus Wrap, Omelet",2,640,UPI,Veggie Hummus Wrap
60,2023-06-29,08:39:00,"Veggie Hummus Wrap, Omelet",1,640,UPI,Omelet
61,2023-07-06,20:56:00,Chocolate Fudge Cake,1,250,Cash,Chocolate Fudge Cake
62,2023-04-29,19:16:00,Pancakes with Syrup,1,250,UPI,Pancakes with Syrup
63,2023-01-24,20:27:00,"Pancakes with Syrup, Avocado Toast, Cheesecake, Almond Milk",2,1580,Card,Pancakes with Syrup
63,2023-01-24,20:27:00,"Pancakes with Syrup, Avocado Toast, Cheesecake, Almond Milk",2,1580,Card,Avocado Toast
63,2023-01-24,20:27:00,"Pancakes with Syrup, Avocado Toast, Cheesecake, Almond Milk",2,1580,Card,Cheesecake
63,2023-01-24,20:27:00,"Pancakes with Syrup, Avocado Toast, Cheesecake, Almond Milk",1,1580,Card,Almond Milk
64,2023-09-13,18:56:00,"Cold Brew, Almond Milk",1,190,Card,Cold Brew
64,2023-09-13,18:56:00,"Cold Brew, Almond Milk",1,190,Card,Almond Milk
65,2023-12-03,11:16:00,Lemon Tart,2,540,Cash,Lemon Tart
66,2023-09-01,12:16:00,"Cheesecake, Greek Salad, Oat Milk",2,1040,Mobile Wallet,Cheesecake
66,2023-09-01,12:16:00,"Cheesecake, Greek Salad, Oat Milk",2,1040,Mobile Wallet,Greek Salad
66,2023-09-01,12:16:00,"Cheesecake, Greek Salad, Oat Milk",1,1040,Mobile Wallet,Oat Milk
67,2023-03-09,19:29:00,Club Sandwich,2,400,Card,Club Sandwich
68,2023-07-19,17:25:00,"Seasonal Smoothie, Hot Chocolate, Greek Salad",2,800,Mobile Wallet,Seasonal Smoothie
68,2023-07-19,17:25:00,"Seasonal Smoothie, Hot Chocolate, Greek Salad",2,800,Mobile Wallet,Hot Chocolate
68,2023-07-19,17:25:00,"Seasonal Smoothie, Hot Chocolate, Greek Salad",1,800,Mobile Wallet,Greek Salad
69,2023-06-08,18:38:00,"Seasonal Smoothie, Cheesecake, Hot Chocolate, Almond Milk",1,890,UPI,Seasonal Smoothie
69,2023-06-08,18:38:00,"Seasonal Smoothie, Cheesecake, Hot Chocolate, Almond Milk",2,890,UPI,Cheesecake
69,2023-06-08,18:38:00,"Seasonal Smoothie, Cheesecake, Hot Chocolate, Almond Milk",1,890,UPI,Hot Chocolate
69,2023-06-08,18:38:00,"Seasonal Smoothie, Cheesecake, Hot Chocolate, Almond Milk",1,890,UPI,Almond Milk
70,2023-09-18,15:03:00,"Veggie Hummus Wrap, Cheesecake, Chicken Caesar Wrap, Soy Milk",2,1260,Card,Veggie Hummus Wrap
70,2023-09-18,15:03:00,"Veggie Hummus Wrap, Cheesecake, Chicken Caesar Wrap, Soy Milk",2,1260,Card,Cheesecake
70,2023-09-18,15:03:00,"Veggie Hummus Wrap, Cheesecake, Chicken Caesar Wrap, Soy Milk",1,1260,Card,Chicken Caesar Wrap
70,2023-09-18,15:03:00,"Veggie Hummus Wrap, Cheesecake, Chicken Caesar Wrap, Soy Milk",1,1260,Card,Soy Milk
71,2023-02-22,18:17:00,"Chocolate Fudge Cake, Nitro Cold Brew, Omelet",1,830,Mobile Wallet,Chocolate Fudge Cake
71,2023-02-22,18:17:00,"Chocolate Fudge Cake, Nitro Cold Brew, Omelet",1,830,Mobile Wallet,Nitro Cold Brew
71,2023-02-22,18:17:00,"Chocolate Fudge Cake, Nitro Cold Brew, Omelet",2,830,Mobile Wallet,Omelet
72,2023-10-21,13:21:00,"Omelet, Oat Milk",1,240,Mobile Wallet,Omelet
72,2023-10-21,13:21:00,"Omelet, Oat Milk",1,240,Mobile Wallet,Oat Milk
73,2023-08-29,18:38:00,Grilled Cheese Sandwich,2,360,Card,Grilled Cheese Sandwich
74,2023-08-18,10:45:00,"Nitro Cold Brew, Almond Milk",2,400,Cash,Nitro Cold Brew
74,2023-08-18,10:45:00,"Nitro Cold Brew, Almond Milk",1,400,Cash,Almond Milk
75,2023-05-12,13:35:00,"Chocolate Chip Cookies, Cappuccino",1,250,Mobile Wallet,Chocolate Chip Cookies
75,2023-05-12,13:35:00,"Chocolate Chip Cookies, Cappuccino",1,250,Mobile Wallet,Cappuccino
76,2023-02-10,18:25:00,"Bagel with Cream Cheese, Club Sandwich, Chocolate Milkshake",1,960,UPI,Bagel with Cream Cheese
76,2023-02-10,18:25:00,"Bagel with Cream Cheese, Club Sandwich, Chocolate Milkshake",2,960,UPI,Club Sandwich
76,2023-02-10,18:25:00,"Bagel with Cream Cheese, Club Sandwich, Chocolate Milkshake",2,960,UPI,Chocolate Milkshake
77,2023-07-11,16:37:00,"Caesar Salad, Latte, Chocolate Chip Cookies, Oat Milk",2,750,Mobile Wallet,Caesar Salad
77,2023-07-11,16:37:00,"Caesar Salad, Latte, Chocolate Chip Cookies, Oat Milk",1,750,Mobile Wallet,Latte
77,2023-07-11,16:37:00,"Caesar Salad, Latte, Chocolate Chip Cookies, Oat Milk",1,750,Mobile Wallet,Chocolate Chip Cookies
77,2023-07-11,16:37:00,"Caesar Salad, Latte, Chocolate Chip Cookies, Oat Milk",1,750,Mobile Wallet,Oat Milk
78,2023-04-09,17:32:00,"Nitro Cold Brew, Caramel Drizzle",1,230,Cash,Nitro Cold Brew
78,2023-04-09,17:32:00,"Nitro Cold Brew, Caramel Drizzle",1,230,Cash,Caramel Drizzle
79,2023-02-02,18:18:00,"Hot Chocolate, Caesar Salad, Lemon Tart, Soy Milk",2,1030,UPI,Hot Chocolate
79,2023-02-02,18:18:00,"Hot Chocolate, Caesar Salad, Lemon Tart, Soy Milk",2,1030,UPI,Caesar Salad
79,2023-02-02,18:18:00,"Hot Chocolate, Caesar Salad, Lemon Tart, Soy Milk",1,1030,UPI,Lemon Tart
79,2023-02-02,18:18:00,"Hot Chocolate, Caesar Salad, Lemon Tart, Soy Milk",1,1030,UPI,Soy Milk
80,2023-10-12,18:34:00,"Espresso, Bagel with Cream Cheese, Caesar Salad",1,980,Cash,Espresso
80,2023-10-12,18:34:00,"Espresso, Bagel with Cream Cheese, Caesar Salad",2,980,Cash,Bagel with Cream Cheese
80,2023-10-12,18:34:00,"Espresso, Bagel with Cream Cheese, Caesar Salad",2,980,Cash,Caesar Salad
81,2023-12-17,14:02:00,Grilled Cheese Sandwich,2,360,Card,Grilled Cheese Sandwich
82,2023-03-18,16:01:00,"Seasonal Smoothie, Seasonal Smoothie",2,600,Card,Seasonal Smoothie
82,2023-03-18,16:01:00,"Seasonal Smoothie, Seasonal Smoothie",2,600,Card,Seasonal Smoothie
83,2023-12-29,20:08:00,Lemon Tart,2,540,UPI,Lemon Tart
84,2023-01-29,12:41:00,"Chicken Caesar Wrap, Chocolate Milkshake",1,390,UPI,Chicken Caesar Wrap
84,2023-01-29,12:41:00,"Chicken Caesar Wrap, Chocolate Milkshake",1,390,UPI,Chocolate Milkshake
85,2023-04-02,19:47:00,"Iced Tea (Peach), Pancakes with Syrup",1,360,Card,Iced Tea (Peach)
85,2023-04-02,19:47:00,"Iced Tea (Peach), Pancakes with Syrup",1,360,Card,Pancakes with Syrup
86,2023-03-13,18:14:00,Espresso,2,200,UPI,Espresso
87,2023-11-22,15:27:00,"Mocha, Omelet",1,380,Card,Mocha
87,2023-11-22,15:27:00,"Mocha, Omelet",1,380,Card,Omelet
88,2023-08-07,18:40:00,"Iced Tea (Peach), Vanilla Milkshake, Lemon Tart, Vanilla Syrup",2,690,Card,Iced Tea (Peach)
88,2023-08-07,18:40:00,"Iced Tea (Peach), Vanilla Milkshake, Lemon Tart, Vanilla Syrup",1,690,Card,Vanilla Milkshake
88,2023-08-07,18:40:00,"Iced Tea (Peach), Vanilla Milkshake, Lemon Tart, Vanilla Syrup",1,690,Card,Lemon Tart
88,2023-08-07,18:40:00,"Iced Tea (Peach), Vanilla Milkshake, Lemon Tart, Vanilla Syrup",1,690,Card,Vanilla Syrup
89,2023-08-19,08:13:00,Chocolate Milkshake,2,340,Cash,Chocolate Milkshake
90,2023-03-26,09:28:00,"Espresso, Chocolate Chip Cookies, Chicken Caesar Wrap, Almond Milk",2,880,Card,Espresso
90,2023-03-26,09:28:00,"Espresso, Chocolate Chip Cookies, Chicken Caesar Wrap, Almond Milk",2,880,Card,Chocolate Chip Cookies
90,2023-03-26,09:28:00,"Espresso, Chocolate Chip Cookies, Chicken Caesar Wrap, Almond Milk",2,880,Card,Chicken Caesar Wrap
90,2023-03-26,09:28:00,"Espresso, Chocolate Chip Cookies, Chicken Caesar Wrap, Almond Milk",1,880,Card,Almond Milk
91,2023-12-18,13:07:00,Pancakes with Syrup,1,250,Cash,Pancakes with Syrup
92,2023-12-09,08:30:00,"Brownies, Chocolate Chip Cookies, Seasonal Smoothie, Almond Milk",2,530,UPI,Brownies
92,2023-12-09,08:30:00,"Brownies, Chocolate Chip Cookies, Seasonal Smoothie, Almond Milk",1,530,UPI,Chocolate Chip Cookies
92,2023-12-09,08:30:00,"Brownies, Chocolate Chip Cookies, Seasonal Smoothie, Almond Milk",1,530,UPI,Seasonal Smoothie
92,2023-12-09,08:30:00,"Brownies, Chocolate Chip Cookies, Seasonal Smoothie, Almond Milk",1,530,UPI,Almond Milk
93,2023-07-06,18:22:00,"Iced Tea (Peach), Bagel with Cream Cheese",1,330,Card,Iced Tea (Peach)
93,2023-07-06,18:22:00,"Iced Tea (Peach), Bagel with Cream Cheese",1,330,Card,Bagel with Cream Cheese
94,2023-01-28,18:29:00,Veggie Hummus Wrap,1,220,Cash,Veggie Hummus Wrap
