Transaction ID,Date,Time,Items Purchased,Quantities,Total Price (INR),Payment Method
52,2023-05-03,11:16,"Cappuccino, Chocolate Chip Cookies, Iced Americano","2, 1, 1",530,UPI
53,2023-11-04,09:00,"Chicken Caesar Wrap, Greek Salad, Club Sandwich, Vanilla Syrup","2, 1, 2, 1",1090,Mobile Wallet
54,2023-04-16,20:04,"Vanilla Milkshake, Green Tea","2, 2",500,Cash
55,2023-08-17,19:23,French Toast,2,540,Card
56,2023-11-06,10:11,"Masala Chai, Chocolate Chip Cookies, Soy Milk","2, 1, 1",320,UPI
57,2023-01-03,20:52,"Americano, Almond Milk","2, 1",280,Cash
58,2023-11-18,14:50,"Green Tea, Omelet, Nitro Cold Brew","1, 2, 1",660,UPI
59,2023-11-30,09:33,"Avocado Toast, Seasonal Smoothie, Hot Chocolate, Oat Milk","2, 2, 2, 1",1100,UPI
60,2023-06-29,08:39,"Veggie Hummus Wrap, Omelet","2, 1",640,UPI
61,2023-07-06,20:56,Chocolate Fudge Cake,1,250,Cash
62,2023-04-29,19:16,Pancakes with Syrup,1,250,UPI
63,2023-01-24,20:27,"Pancakes with Syrup, Avocado Toast, Cheesecake, Almond Milk","2, 2, 2, 1",1580,Card
64,2023-09-13,18:56,"Cold Brew, Almond Milk","1, 1",190,Card
65,2023-12-03,11:16,Lemon Tart,2,540,Cash
66,2023-09-01,12:16,"Cheesecake, Greek Salad, Oat Milk","2, 2, 1",1040,Mobile Wallet
67,2023-03-09,19:29,Club Sandwich,2,400,Card
68,2023-07-19,17:25,"Seasonal Smoothie, Hot Chocolate, Greek Salad","2, 2, 1",800,Mobile Wallet
69,2023-06-08,18:38,"Seasonal Smoothie, Cheesecake, Hot Chocolate, Almond Milk","1, 2, 1, 1",890,UPI
70,2023-09-18,15:03,"Veggie Hummus Wrap, Cheesecake, Chicken Caesar Wrap, Soy Milk","2, 2, 1, 1",1260,Card
71,2023-02-22,18:17,"Chocolate Fudge Cake, Nitro Cold Brew, Omelet","1, 1, 2",830,Mobile Wallet
72,2023-10-21,13:21,"Omelet, Oat Milk","1, 1",240,Mobile Wallet
73,2023-08-29,18:38,Grilled Cheese Sandwich,2,360,Card
74,2023-08-18,10:45,"Nitro Cold Brew, Almond Milk","2, 1",400,Cash
75,2023-05-12,13:35,"Chocolate Chip Cookies, Cappuccino","1, 1",250,Mobile Wallet
76,2023-02-10,18:25,"Bagel with Cream Cheese, Club Sandwich, Chocolate Milkshake","1, 2, 2",960,UPI
77,2023-07-11,16:37,"Caesar Salad, Latte, Chocolate Chip Cookies, Oat Milk","2, 1, 1, 1",750,Mobile Wallet
78,2023-04-09,17:32,"Nitro Cold Brew, Caramel Drizzle","1, 1",230,Cash
79,2023-02-02,18:18,"Hot Chocolate, Caesar Salad, Lemon Tart, Soy Milk","2, 2, 1, 1",1030,UPI
80,2023-10-12,18:34,"Espresso, Bagel with Cream Cheese, Caesar Salad","1, 2, 2",980,Cash
81,2023-12-17,14:02,Grilled Cheese Sandwich,2,360,Card
82,2023-03-18,16:01,"Seasonal Smoothie, Seasonal Smoothie","2, 2",600,Card
83,2023-12-29,20:08,Lemon Tart,2,540,UPI
84,2023-01-29,12:41,"Chicken Caesar Wrap, Chocolate Milkshake","1, 1",390,UPI
85,2023-04-02,19:47,"Iced Tea (Peach), Pancakes with Syrup","1, 1",360,Card
86,2023-03-13,18:14,Espresso,2,200,UPI
87,2023-11-22,15:27,"Mocha, Omelet","1, 1",380,Card
88,2023-08-07,18:40,"Iced Tea (Peach), Vanilla Milkshake, Lemon Tart, Vanilla Syrup","2, 1, 1, 1",690,Card
89,2023-08-19,08:13,Chocolate Milkshake,2,340,Cash
90,2023-03-26,09:28,"Espresso, Chocolate Chip Cookies, Chicken Caesar Wrap, Almond Milk","2, 2, 2, 1",880,Card
91,2023-12-18,13:07,Pancakes with Syrup,1,250,Cash
92,2023-12-09,08:30,"Brownies, Chocolate Chip Cookies, Seasonal Smoothie, Almond Milk","2, 1, 1, 1",530,UPI
93,2023-07-06,18:22,"Iced Tea (Peach), Bagel with Cream Cheese","1, 1",330,Card
94,2023-01-28,18:29,Veggie Hummus Wrap,1,220,Cash
95,2023-03-07,10:55,"Brownies, Avocado Toast, Americano","1, 1, 2",600,UPI
96,2023-08-01,14:03,"Omelet, Avocado Toast, Chocolate Fudge Cake","1, 2, 2",1180,Mobile Wallet
97,2023-03-05,13:50,Avocado Toast,2,480,Cash
98,2023-08-19,13:58,"Grilled Cheese Sandwich, Cheesecake, Brownies, Caramel Drizzle","2, 2, 1, 1",1090,Cash
99,2023-03-31,18:53,"French Toast, Soy Milk","2, 1",580,Card
100,2023-01-11,09:47,"Quinoa Bowl, Affogato, Oat Milk","2, 1, 1",720,Cash
101,2023-04-25,17:58,"Club Sandwich, Bagel with Cream Cheese, Iced Tea (Peach)","2, 1, 2",840,Mobile Wallet
102,2023-05-18,10:25,"Nitro Cold Brew, Chocolate Chip Cookies","1, 2",380,Mobile Wallet
103,2023-10-06,18:40,"Lemon Tart, Vanilla Syrup","2, 1",570,UPI
104,2023-04-12,13:30,"Chocolate Fudge Cake, French Toast, Omelet","1, 1, 1",720,Mobile Wallet
105,2023-07-04,10:50,"Caesar Salad, French Toast, Soy Milk","2, 1, 1",750,Card
106,2023-02-05,11:31,"Lemon Tart, Lemon Tart, Caramel Drizzle","1, 2, 1",860,Mobile Wallet
107,2023-05-10,15:56,Bagel with Cream Cheese,2,440,UPI
108,2023-06-03,20:53,"Fresh Lemonade, Lemon Tart, Cold Brew","2, 2, 2",1040,UPI
109,2023-07-14,13:44,"Iced Tea (Peach), Seasonal Smoothie, Caramel Drizzle","2, 1, 1",420,UPI
110,2023-12-08,16:39,"Lemon Tart, Chocolate Chip Cookies, Avocado Toast","2, 2, 2",1220,Cash
111,2023-06-25,12:27,"Pancakes with Syrup, Veggie Hummus Wrap, Oat Milk","1, 2, 1",730,UPI
112,2023-05-07,18:24,"French Toast, Club Sandwich","2, 2",940,Cash
113,2023-03-10,15:11,"Flat White, Bagel with Cream Cheese, Oat Milk","1, 2, 1",640,UPI
114,2023-05-02,11:33,"Flat White, Cheesecake","1, 2",720,Cash
115,2023-08-02,14:23,"Chocolate Fudge Cake, Bagel with Cream Cheese, Chocolate Fudge Cake, Soy Milk","1, 1, 2, 1",1010,Cash
116,2023-12-21,11:23,"Cappuccino, Vanilla Milkshake","2, 2",640,UPI
117,2023-09-20,13:15,"Cheesecake, Caesar Salad, Almond Milk","2, 2, 1",1040,UPI
118,2023-02-28,13:58,"Pancakes with Syrup, Caesar Salad, Vanilla Syrup","1, 2, 1",720,UPI
119,2023-08-01,14:32,"Chocolate Chip Cookies, Grilled Cheese Sandwich, Omelet, Caramel Drizzle","2, 1, 1, 1",630,Cash
120,2023-12-02,11:14,"Masala Chai, Chicken Caesar Wrap, Pancakes with Syrup, Almond Milk","2, 1, 1, 1",690,Mobile Wallet
121,2023-01-09,08:02,"Chocolate Fudge Cake, Caesar Salad, Grilled Cheese Sandwich, Vanilla Syrup","1, 2, 2, 1",1080,Card
122,2023-03-22,11:17,"Quinoa Bowl, Omelet","1, 1",440,Cash
123,2023-05-22,19:36,Iced Tea (Peach),2,220,Cash
124,2023-04-29,15:51,Masala Chai,1,90,Cash
125,2023-10-04,15:50,Seasonal Smoothie,1,150,UPI
126,2023-12-22,16:35,Bagel with Cream Cheese,2,440,Card
127,2023-08-30,12:18,"Caesar Salad, Greek Salad","2, 2",880,UPI
128,2023-04-28,17:00,Lemon Tart,1,270,Mobile Wallet
129,2023-12-14,10:05,"Chocolate Milkshake, Omelet, Nitro Cold Brew","2, 1, 2",900,UPI
130,2023-12-18,08:05,"Veggie Hummus Wrap, Vanilla Syrup","1, 1",250,UPI
131,2023-06-09,18:11,"Iced Americano, Fresh Lemonade, Matcha Latte","2, 1, 2",680,Cash
132,2023-11-24,09:25,"Affogato, Chicken Caesar Wrap, Grilled Cheese Sandwich, Vanilla Syrup","2, 2, 1, 1",1050,Mobile Wallet
133,2023-08-29,18:47,"Greek Salad, Almond Milk","2, 1",480,UPI
134,2023-01-23,08:08,"Cappuccino, Caesar Salad","2, 2",740,UPI
135,2023-01-14,10:53,"Strawberry Milkshake, Pancakes with Syrup, French Toast","2, 1, 2",1130,Cash
136,2023-08-05,10:42,"Chocolate Chip Cookies, Bagel with Cream Cheese, Chocolate Fudge Cake","1, 1, 1",570,UPI
137,2023-10-05,11:32,"Nitro Cold Brew, Veggie Hummus Wrap","2, 2",800,Cash
138,2023-10-18,11:10,"Lemon Tart, Fresh Lemonade, Lemon Tart","2, 1, 2",1180,Mobile Wallet
139,2023-07-21,10:37,"Chocolate Fudge Cake, Caramel Drizzle","2, 1",550,Mobile Wallet
140,2023-09-15,13:06,"Grilled Cheese Sandwich, Brownies, Vanilla Milkshake, Caramel Drizzle","1, 1, 1, 1",520,UPI
141,2023-11-15,10:25,Masala Chai,2,180,Card
142,2023-04-17,14:25,"Greek Salad, Quinoa Bowl, Chocolate Fudge Cake, Vanilla Syrup","2, 2, 1, 1",1200,Cash
143,2023-04-23,16:41,"Grilled Cheese Sandwich, Caramel Drizzle","1, 1",230,UPI
144,2023-11-25,16:56,Chocolate Chip Cookies,1,100,UPI
145,2023-10-10,14:13,"Quinoa Bowl, Lemon Tart, Caesar Salad, Soy Milk","2, 1, 2, 1",1230,Card
146,2023-10-14,11:28,"Mocha, Greek Salad","2, 2",800,UPI
147,2023-03-27,10:10,"Hot Chocolate, Chocolate Chip Cookies, Soy Milk","1, 2, 1",380,UPI
148,2023-11-12,14:03,Veggie Hummus Wrap,1,220,Card
149,2023-11-16,15:38,"Veggie Hummus Wrap, Matcha Latte","2, 1",600,Card
150,2023-03-09,17:37,"Affogato, Chocolate Fudge Cake, Oat Milk","2, 1, 1",690,Card
151,2023-11-11,09:36,"Brownies, Avocado Toast, Caesar Salad, Oat Milk","2, 2, 2, 1",1200,UPI
152,2023-02-17,14:24,"Grilled Cheese Sandwich, Cold Brew, Club Sandwich","1, 2, 2",880,Mobile Wallet
153,2023-01-06,10:43,Avocado Toast,1,240,Card
154,2023-07-27,13:06,French Toast,1,270,Cash
155,2023-08-16,13:25,"Omelet, Iced Tea (Peach), Latte","1, 1, 2",650,Cash
156,2023-09-13,18:16,"Chocolate Fudge Cake, Quinoa Bowl, Vanilla Syrup","2, 2, 1",1010,Mobile Wallet
157,2023-01-29,16:47,"Lemon Tart, Affogato, Vanilla Syrup","2, 1, 1",770,UPI
158,2023-09-25,15:55,"Cappuccino, Greek Salad, Matcha Latte","1, 1, 2",690,Mobile Wallet
159,2023-07-21,13:25,"Affogato, Grilled Cheese Sandwich, Bagel with Cream Cheese, Vanilla Syrup","2, 1, 2, 1",1050,Cash
160,2023-11-17,10:01,"French Toast, Bagel with Cream Cheese, Soy Milk","2, 1, 1",800,Cash
161,2023-04-05,09:21,"Americano, Matcha Latte","1, 2",440,UPI
162,2023-08-21,19:05,"Fresh Lemonade, Latte, Masala Chai","2, 1, 2",550,UPI
163,2023-09-04,13:59,"Caesar Salad, Chicken Caesar Wrap, Chocolate Milkshake","2, 2, 2",1220,Mobile Wallet
164,2023-08-11,19:20,"Avocado Toast, Caramel Drizzle","1, 1",290,Card
165,2023-02-11,17:38,"Fresh Lemonade, Oat Milk","2, 1",240,UPI
166,2023-11-12,09:25,"Mocha, Almond Milk","2, 1",400,UPI
167,2023-08-16,12:06,"Cold Brew, Strawberry Milkshake, Flat White, Almond Milk","1, 1, 2, 1",680,Mobile Wallet
168,2023-01-20,16:27,"Cappuccino, Grilled Cheese Sandwich, Affogato, Soy Milk","1, 2, 2, 1",950,Mobile Wallet
169,2023-10-28,19:30,Matcha Latte,1,160,UPI
170,2023-10-27,11:25,"Grilled Cheese Sandwich, Avocado Toast","2, 1",600,Card
171,2023-06-15,12:57,"Greek Salad, Chocolate Fudge Cake","1, 1",470,UPI
172,2023-07-14,09:03,"Pancakes with Syrup, Lemon Tart, Almond Milk","1, 2, 1",830,Cash
173,2023-07-14,15:13,"French Toast, Cheesecake, Chocolate Milkshake","2, 1, 2",1160,Card
174,2023-04-23,15:45,"Cheesecake, Soy Milk","2, 1",600,Cash
175,2023-06-23,13:39,"Omelet, Grilled Cheese Sandwich, Avocado Toast","1, 1, 2",860,Card
176,2023-09-29,18:46,"Lemon Tart, Caramel Drizzle","2, 1",590,Card
177,2023-09-01,11:55,"Hot Chocolate, Chicken Caesar Wrap, Pancakes with Syrup","1, 2, 1",830,Cash
178,2023-08-13,10:42,"Chocolate Milkshake, Pancakes with Syrup","2, 2",840,UPI
179,2023-07-25,08:20,"Cold Brew, Chocolate Milkshake, Oat Milk","1, 2, 1",530,UPI
180,2023-07-19,08:58,"Iced Tea (Peach), Espresso, Pancakes with Syrup","2, 2, 2",920,UPI
181,2023-11-09,11:47,"Chocolate Chip Cookies, Chicken Caesar Wrap, Soy Milk","2, 2, 1",680,Mobile Wallet
182,2023-10-16,09:10,"Hot Chocolate, Masala Chai, Almond Milk","1, 1, 1",270,Card
183,2023-10-25,17:15,"Greek Salad, Greek Salad, Espresso","1, 1, 1",540,Cash
184,2023-01-10,14:35,"Chocolate Chip Cookies, Espresso, Seasonal Smoothie","2, 2, 1",550,Cash
185,2023-07-23,15:37,"Brownies, Cold Brew, Pancakes with Syrup, Vanilla Syrup","1, 2, 2, 1",950,Cash
186,2023-11-22,17:17,"Strawberry Milkshake, Oat Milk","1, 1",210,Cash
187,2023-05-27,10:36,"Chocolate Milkshake, Strawberry Milkshake, Almond Milk","1, 1, 1",380,UPI
188,2023-06-01,17:46,"Pancakes with Syrup, Latte, Soy Milk","1, 1, 1",460,UPI
189,2023-02-25,15:32,"Pancakes with Syrup, Caramel Drizzle","2, 1",550,Card
190,2023-05-27,11:14,"French Toast, Almond Milk","2, 1",580,UPI
191,2023-08-24,14:10,Lemon Tart,1,270,UPI
192,2023-03-06,18:41,"Brownies, Green Tea, Mocha, Soy Milk","1, 1, 1, 1",420,Mobile Wallet
193,2023-02-03,20:54,"Pancakes with Syrup, Soy Milk","2, 1",540,Mobile Wallet
194,2023-07-02,19:02,"Flat White, Iced Americano, Chicken Caesar Wrap","2, 1, 2",890,UPI
195,2023-08-08,09:09,Veggie Hummus Wrap,2,440,Mobile Wallet
196,2023-09-01,13:00,"Omelet, Vanilla Syrup","1, 1",230,Mobile Wallet
197,2023-08-16,16:24,"Americano, French Toast, Cold Brew","2, 2, 2",1080,Cash
198,2023-06-09,20:21,"Flat White, Matcha Latte, Caramel Drizzle","1, 2, 1",530,Card
199,2023-04-15,20:55,"Quinoa Bowl, Cheesecake, Vanilla Syrup","1, 1, 1",550,Card
200,2023-07-03,10:07,"Chicken Caesar Wrap, Lemon Tart, Caramel Drizzle","1, 2, 1",810,Mobile Wallet
201,2023-06-24,19:26,"Latte, Avocado Toast, Cheesecake, Almond Milk","2, 1, 2, 1",1180,Cash
202,2023-05-02,10:59,Iced Tea (Peach),2,220,Mobile Wallet
203,2023-10-03,20:25,"Quinoa Bowl, Caesar Salad","2, 1",700,UPI
204,2023-11-15,17:06,"Vanilla Milkshake, Green Tea, Soy Milk","2, 1, 1",460,Mobile Wallet
205,2023-03-23,18:25,"Brownies, Oat Milk","1, 1",160,Mobile Wallet
206,2023-10-14,18:12,"Omelet, Iced Americano, Chocolate Fudge Cake, Vanilla Syrup","1, 2, 2, 1",990,Mobile Wallet
207,2023-10-26,16:17,"Fresh Lemonade, Bagel with Cream Cheese, Cheesecake, Caramel Drizzle","2, 1, 1, 1",750,UPI
208,2023-11-27,12:45,"Pancakes with Syrup, Greek Salad, Oat Milk","1, 2, 1",730,Card
209,2023-05-17,14:15,"Avocado Toast, Pancakes with Syrup, Vanilla Syrup","1, 1, 1",520,Card
210,2023-06-18,13:25,"Quinoa Bowl, Nitro Cold Brew, Almond Milk","1, 1, 1",460,Mobile Wallet
211,2023-11-07,19:43,"Club Sandwich, Chocolate Milkshake, French Toast","2, 2, 2",1280,Cash
212,2023-03-06,17:36,"Veggie Hummus Wrap, Oat Milk","2, 1",480,UPI
213,2023-11-27,14:11,"Club Sandwich, Omelet","1, 2",600,Mobile Wallet
214,2023-08-26,10:08,"Green Tea, Greek Salad","2, 2",600,Cash
215,2023-08-23,12:25,"Green Tea, Americano, Vanilla Syrup","1, 2, 1",350,Card
216,2023-05-09,10:44,Omelet,1,200,UPI
217,2023-07-30,17:13,"Iced Tea (Peach), Mocha","1, 1",290,Cash
218,2023-06-24,09:17,"Cappuccino, Iced Tea (Peach), Chocolate Chip Cookies, Vanilla Syrup","2, 1, 2, 1",640,Cash
219,2023-08-09,14:48,"Avocado Toast, Chocolate Fudge Cake","1, 2",740,Cash
220,2023-11-08,17:08,"Greek Salad, Grilled Cheese Sandwich","2, 2",800,Mobile Wallet
221,2023-06-26,17:25,"Affogato, Omelet, Iced Tea (Peach), Caramel Drizzle","1, 2, 2, 1",870,UPI
222,2023-03-17,12:32,"Omelet, Lemon Tart, Oat Milk","1, 1, 1",510,Card
223,2023-06-26,09:30,"Lemon Tart, Green Tea","2, 2",700,UPI
224,2023-08-02,17:13,"Greek Salad, Soy Milk","1, 1",260,Card
225,2023-03-19,08:03,Mocha,2,360,Cash
226,2023-08-17,17:16,"Chicken Caesar Wrap, Chocolate Fudge Cake, Masala Chai, Oat Milk","1, 1, 2, 1",690,Mobile Wallet
227,2023-10-06,12:21,"Chocolate Chip Cookies, Vanilla Milkshake, French Toast, Almond Milk","2, 1, 1, 1",680,Cash
228,2023-11-16,18:11,"Chocolate Chip Cookies, Nitro Cold Brew","2, 1",380,Mobile Wallet
229,2023-09-23,11:35,"Espresso, Seasonal Smoothie, Almond Milk","2, 2, 1",540,Cash
230,2023-06-20,12:02,Chocolate Chip Cookies,2,200,Mobile Wallet
231,2023-02-25,08:52,"Strawberry Milkshake, French Toast, Soy Milk","1, 1, 1",480,UPI
232,2023-12-20,16:37,"Chocolate Fudge Cake, Quinoa Bowl","1, 2",730,Cash
233,2023-08-22,10:29,"Chocolate Milkshake, Caramel Drizzle","1, 1",220,Card
234,2023-02-07,15:17,"Masala Chai, Cold Brew, Club Sandwich, Oat Milk","2, 1, 2, 1",770,Cash
235,2023-04-30,13:37,Iced Tea (Peach),2,220,Mobile Wallet
236,2023-09-01,16:02,"Americano, Almond Milk","1, 1",160,Cash
237,2023-02-03,15:04,Lemon Tart,2,540,Cash
238,2023-05-07,20:49,"Omelet, Soy Milk","1, 1",240,Mobile Wallet
239,2023-03-07,10:17,"Omelet, Chocolate Chip Cookies, Almond Milk","1, 1, 1",340,Mobile Wallet
240,2023-04-25,08:07,"Vanilla Milkshake, French Toast, Vanilla Syrup","2, 1, 1",640,Card
241,2023-02-14,14:04,Espresso,1,100,Cash
242,2023-10-07,20:19,"Masala Chai, Chocolate Fudge Cake, Lemon Tart","1, 1, 1",610,Mobile Wallet
243,2023-08-17,18:33,"Cheesecake, Iced Tea (Peach), Oat Milk","1, 2, 1",540,Mobile Wallet
244,2023-08-24,11:34,"Cappuccino, Soy Milk","2, 1",340,Mobile Wallet
245,2023-04-10,08:09,"Green Tea, Club Sandwich, Caramel Drizzle","1, 2, 1",530,Mobile Wallet
246,2023-04-30,18:52,"Fresh Lemonade, Americano, Affogato, Vanilla Syrup","1, 1, 2, 1",650,UPI
247,2023-04-19,18:16,"French Toast, Pancakes with Syrup, Lemon Tart","2, 1, 2",1330,Mobile Wallet
248,2023-09-19,09:22,"Brownies, Avocado Toast, Brownies","2, 2, 1",840,UPI
249,2023-02-19,17:09,"Hot Chocolate, Iced Americano","1, 2",400,UPI
250,2023-07-03,08:33,Hot Chocolate,2,280,Mobile Wallet
251,2023-06-14,14:11,"Cold Brew, Vanilla Syrup","2, 1",330,Card
252,2023-10-23,11:06,"Omelet, Fresh Lemonade, French Toast","2, 1, 1",770,Cash
253,2023-06-26,10:10,"Masala Chai, Matcha Latte, Caramel Drizzle","1, 2, 1",460,Mobile Wallet
254,2023-03-05,09:12,Chocolate Milkshake,2,340,Cash
255,2023-10-01,15:04,"Lemon Tart, Pancakes with Syrup, Seasonal Smoothie, Vanilla Syrup","1, 2, 2, 1",1100,Mobile Wallet
256,2023-04-29,12:25,"Green Tea, Chocolate Milkshake, Caramel Drizzle","1, 2, 1",470,Card
257,2023-05-28,13:17,"French Toast, Quinoa Bowl","1, 2",750,UPI
258,2023-11-09,16:38,Green Tea,2,160,Cash
259,2023-09-06,13:06,"Strawberry Milkshake, Chocolate Chip Cookies, Caramel Drizzle","1, 2, 1",420,Mobile Wallet
260,2023-05-12,16:48,"Fresh Lemonade, Espresso, Almond Milk","2, 1, 1",340,Cash
261,2023-11-17,16:53,"Flat White, Hot Chocolate, Lemon Tart, Soy Milk","2, 1, 1, 1",770,Cash
262,2023-07-09,09:19,"Strawberry Milkshake, Latte, Caesar Salad","2, 1, 1",730,Card
263,2023-08-04,13:32,"Vanilla Milkshake, Iced Tea (Peach), Chocolate Milkshake, Almond Milk","2, 2, 2, 1",940,UPI
264,2023-06-27,19:39,Pancakes with Syrup,2,500,Cash
265,2023-02-10,09:27,"Latte, Masala Chai, Masala Chai, Caramel Drizzle","1, 2, 2, 1",580,Mobile Wallet
266,2023-05-19,12:47,Matcha Latte,1,160,Card
267,2023-10-28,10:10,Greek Salad,2,440,UPI
268,2023-02-16,16:48,"Bagel with Cream Cheese, Greek Salad, Hot Chocolate","1, 1, 2",720,Cash
269,2023-06-11,11:15,"Fresh Lemonade, Pancakes with Syrup, Oat Milk","2, 1, 1",490,Card
270,2023-05-09,17:35,"Veggie Hummus Wrap, French Toast","1, 1",490,Cash
271,2023-06-08,16:47,"Pancakes with Syrup, Vanilla Milkshake, Soy Milk","1, 2, 1",630,UPI
272,2023-02-11,13:20,"Club Sandwich, Chocolate Chip Cookies, Lemon Tart, Soy Milk","1, 1, 2, 1",880,Card
273,2023-06-25,12:55,"Brownies, Matcha Latte, Caramel Drizzle","2, 2, 1",610,Cash
274,2023-05-10,13:21,"Greek Salad, Americano, Avocado Toast, Almond Milk","2, 1, 1, 1",840,Cash
275,2023-06-22,12:11,"Pancakes with Syrup, Americano","2, 1",620,Cash
276,2023-03-12,12:37,"Avocado Toast, Cheesecake, Caramel Drizzle","1, 2, 1",850,Card
277,2023-08-16,14:41,Veggie Hummus Wrap,2,440,Card
278,2023-09-03,14:42,"Cheesecake, French Toast, Omelet","2, 2, 1",1300,Card
279,2023-01-27,15:57,"Matcha Latte, Vanilla Syrup","1, 1",190,Card
280,2023-05-26,18:41,Brownies,1,120,Mobile Wallet
